"id_number","id_label","hatchery","run","region","group","lon","lat","fishery","year","sex","age","length","source"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2008,"Female",5,940,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2008,"Female",5,880,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2008,"Female",5,890,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2008,"Female",5,920,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2008,"Female",5,880,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2008,"Female",5,930,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2008,"Female",5,940,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2008,"Female",5,940,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2008,"Female",5,960,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2008,"Female",5,870,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2008,"Female",5,880,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2008,"Female",5,810,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2008,"Female",5,920,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2008,"Female",5,860,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2008,"Female",5,910,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2008,"Female",5,870,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2008,"Female",5,770,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2008,"Female",5,970,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2008,"Female",5,920,"cwt"
2,"Forks Creek Fall","Forks Creek","Fall","Coast","Coast Fall",-123.594870503724,46.5580453090346,50,2008,"Female",5,900,"cwt"
