"id_number","id_label","hatchery","run","release","region","subregion","group","lon","lat","year","females_spawned","fecundity","source"
8,"Kendall Cr Spring","Kendall Cr","Spring","subyearling","Puget Sound","N. Washington","Puget Sound Spring",-122.142094145177,48.8973831262408,2015,390,3183.33333333333,"wdfw"
8,"Kendall Cr Spring","Kendall Cr","Spring","subyearling","Puget Sound","N. Washington","Puget Sound Spring",-122.142094145177,48.8973831262408,2016,394,3239.59390862944,"wdfw"
8,"Kendall Cr Spring","Kendall Cr","Spring","subyearling","Puget Sound","N. Washington","Puget Sound Spring",-122.142094145177,48.8973831262408,2018,504,3914.75198412698,"wdfw"
8,"Kendall Cr Spring","Kendall Cr","Spring","subyearling","Puget Sound","N. Washington","Puget Sound Spring",-122.142094145177,48.8973831262408,2019,416,4719.64423076923,"wdfw"
9,"Marblemount Spring","Marblemount","Spring","subyearling and yearling","Puget Sound","Skagit","Puget Sound Spring",-121.417867970209,48.5223287491365,1995,196,4308.67346938776,"wdfw"
9,"Marblemount Spring","Marblemount","Spring","subyearling and yearling","Puget Sound","Skagit","Puget Sound Spring",-121.417867970209,48.5223287491365,1996,232,4474.04310344828,"wdfw"
9,"Marblemount Spring","Marblemount","Spring","subyearling and yearling","Puget Sound","Skagit","Puget Sound Spring",-121.417867970209,48.5223287491365,1997,170,4698.82352941176,"wdfw"
9,"Marblemount Spring","Marblemount","Spring","subyearling and yearling","Puget Sound","Skagit","Puget Sound Spring",-121.417867970209,48.5223287491365,1998,145,3885.51724137931,"wdfw"
9,"Marblemount Spring","Marblemount","Spring","subyearling and yearling","Puget Sound","Skagit","Puget Sound Spring",-121.417867970209,48.5223287491365,1999,227,4464.05286343612,"wdfw"
9,"Marblemount Spring","Marblemount","Spring","subyearling and yearling","Puget Sound","Skagit","Puget Sound Spring",-121.417867970209,48.5223287491365,2000,166,4662.65060240964,"wdfw"
9,"Marblemount Spring","Marblemount","Spring","subyearling and yearling","Puget Sound","Skagit","Puget Sound Spring",-121.417867970209,48.5223287491365,2001,132,4600.75757575758,"wdfw"
9,"Marblemount Spring","Marblemount","Spring","subyearling and yearling","Puget Sound","Skagit","Puget Sound Spring",-121.417867970209,48.5223287491365,2002,169,4139.23076923077,"wdfw"
9,"Marblemount Spring","Marblemount","Spring","subyearling and yearling","Puget Sound","Skagit","Puget Sound Spring",-121.417867970209,48.5223287491365,2003,138,4244.20289855072,"wdfw"
9,"Marblemount Spring","Marblemount","Spring","subyearling and yearling","Puget Sound","Skagit","Puget Sound Spring",-121.417867970209,48.5223287491365,2004,166,4369.87951807229,"wdfw"
9,"Marblemount Spring","Marblemount","Spring","subyearling and yearling","Puget Sound","Skagit","Puget Sound Spring",-121.417867970209,48.5223287491365,2005,195,4939.48717948718,"wdfw"
9,"Marblemount Spring","Marblemount","Spring","subyearling and yearling","Puget Sound","Skagit","Puget Sound Spring",-121.417867970209,48.5223287491365,2006,143,4346.85314685315,"wdfw"
9,"Marblemount Spring","Marblemount","Spring","subyearling and yearling","Puget Sound","Skagit","Puget Sound Spring",-121.417867970209,48.5223287491365,2007,138,5060.14492753623,"wdfw"
9,"Marblemount Spring","Marblemount","Spring","subyearling and yearling","Puget Sound","Skagit","Puget Sound Spring",-121.417867970209,48.5223287491365,2008,160,4088.75,"wdfw"
9,"Marblemount Spring","Marblemount","Spring","subyearling and yearling","Puget Sound","Skagit","Puget Sound Spring",-121.417867970209,48.5223287491365,2009,147,4835.37414965986,"wdfw"
9,"Marblemount Spring","Marblemount","Spring","subyearling and yearling","Puget Sound","Skagit","Puget Sound Spring",-121.417867970209,48.5223287491365,2010,173,5041.61849710983,"wdfw"
9,"Marblemount Spring","Marblemount","Spring","subyearling and yearling","Puget Sound","Skagit","Puget Sound Spring",-121.417867970209,48.5223287491365,2011,120,4880,"wdfw"
9,"Marblemount Spring","Marblemount","Spring","subyearling and yearling","Puget Sound","Skagit","Puget Sound Spring",-121.417867970209,48.5223287491365,2012,170,5052.94117647059,"wdfw"
9,"Marblemount Spring","Marblemount","Spring","subyearling and yearling","Puget Sound","Skagit","Puget Sound Spring",-121.417867970209,48.5223287491365,2013,168,5196.875,"wdfw"
9,"Marblemount Spring","Marblemount","Spring","subyearling and yearling","Puget Sound","Skagit","Puget Sound Spring",-121.417867970209,48.5223287491365,2014,238,4491.17647058824,"wdfw"
9,"Marblemount Spring","Marblemount","Spring","subyearling and yearling","Puget Sound","Skagit","Puget Sound Spring",-121.417867970209,48.5223287491365,2015,362,4997.23756906077,"wdfw"
9,"Marblemount Spring","Marblemount","Spring","subyearling and yearling","Puget Sound","Skagit","Puget Sound Spring",-121.417867970209,48.5223287491365,2016,350,4691.42857142857,"wdfw"
9,"Marblemount Spring","Marblemount","Spring","subyearling and yearling","Puget Sound","Skagit","Puget Sound Spring",-121.417867970209,48.5223287491365,2017,359,4697.26740947075,"wdfw"
9,"Marblemount Spring","Marblemount","Spring","subyearling and yearling","Puget Sound","Skagit","Puget Sound Spring",-121.417867970209,48.5223287491365,2018,415,4855.32048192771,"wdfw"
9,"Marblemount Spring","Marblemount","Spring","subyearling and yearling","Puget Sound","Skagit","Puget Sound Spring",-121.417867970209,48.5223287491365,2019,463,4460.04319654428,"wdfw"
10,"Minter Cr Spring","Minter Cr","Spring","subyearling and yearling","Puget Sound","S. Puget Sound","Puget Sound Spring",-122.702674036513,47.3726515825363,1999,186,2881.72043010753,"wdfw"
10,"Minter Cr Spring","Minter Cr","Spring","subyearling and yearling","Puget Sound","S. Puget Sound","Puget Sound Spring",-122.702674036513,47.3726515825363,2010,122,3100.00819672131,"wdfw"
